"risk_id","title","asset_id","risk_category","scenario","threat","vulnerability","existing_controls","L_1to5","I_1to5","score","level","residual_L_1to5","residual_I_1to5","residual_score","residual_level","residual_assumption","treatment","actions","owner","target_date","status","notes"
"R13","Weak password hygiene / no passwordless","A01","IAM / Passwords","Weak passwords/reuse -> credential stuffing -> account compromise","Credential stuffing","No password policy enforcement, no MFA everywhere","Basic policy","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","Enforce MFA; password policy; block breached passwords; consider passwordless","IT","2026-05-31","Open","Common in the wild"
"R14","Legacy authentication protocols enabled","A01","IAM / Legacy Auth","Legacy auth (basic/IMAP) abused -> bypass controls","Account compromise","Legacy auth not disabled","Partial hardening","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","Disable legacy auth; conditional access; monitor legacy sign-ins","IT","2026-03-31","Open","Quick win"
"R15","DMARC not enforced","A02","Email Security","Spoofed domain emails sent to users/partners","Email spoofing","DMARC not configured/enforced","SPF/DKIM partial","3","3","9","Medium","2","3","6","Medium","Heuristic v1.2 (adjust manually)","Reduce","Implement DMARC (p=quarantine then reject); monitor reports","IT","2026-04-30","Open","Reduces spoofing risk"
"R16","Sensitive data exposed via misconfigured sharing","A04","Data Protection","Misconfigured permissions -> external access to sensitive docs","Data leak","Over-permissive sharing settings","Some permissions review","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","Tighten sharing defaults; access reviews; DLP rules","IT","2026-06-30","Open","Often discovered too late"
"R17","Insider misuse of access to sensitive data","A09","Data Protection / Insider","Authorized user exports HR/Finance data","Insider threat","No monitoring of bulk exports, weak least privilege","Basic access control","2","5","10","High","1","5","5","Medium","Heuristic v1.2 (adjust manually)","Reduce","Least privilege; logging of exports; alerts; periodic reviews","Security","2026-07-31","Open","Low likelihood, high impact"
"R18","Shadow IT (unsanctioned SaaS) leads to data leakage","A10","Governance","Users store data in unmanaged SaaS","Data leak","No approved catalog, weak controls","Ad hoc guidance","4","3","12","High","3","3","9","Medium","Heuristic v1.2 (adjust manually)","Reduce","Approved SaaS list; awareness; block risky apps; CASB-lite if possible","IT","2026-08-31","Open","Very common"
"R19","Poor change management causes service outage","A06","Governance / Ops","Bad change on network/VPN -> outage","Operational failure","No change review/rollback plan","Informal process","3","3","9","Medium","2","3","6","Medium","Heuristic v1.2 (adjust manually)","Reduce","Change checklist; approvals for critical changes; rollback plan","IT","2026-06-30","Open","Risk ≠ only attackers"
"R20","Single point of failure on internet connectivity","A06","Resilience","ISP outage -> remote work / services unavailable","Outage","No redundancy","Single link","3","4","12","High","2","3","6","Medium","Heuristic v1.2 (adjust manually)","Reduce","Secondary ISP/4G backup; tested failover","IT","2026-09-30","Open","Business continuity"
"R21","Remote support tool abused by attacker","A10","Third-Party Risk","Attacker uses remote tool (vendor) to access systems","Unauthorized access","Vendor access too broad, weak MFA","Vendor account exists","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","MFA; restrict vendor access; just-in-time; logging; review contracts","IT","2026-06-30","Open","Classic entry point"
"R22","Unknown assets due to lack of inventory","A03","Governance","Unmanaged devices/services remain unpatched","Exposure","No complete inventory/CMDB","Partial lists","4","3","12","High","3","3","9","Medium","Heuristic v1.2 (adjust manually)","Reduce","Asset discovery; owner assignment; baseline + decommission unknowns","IT","2026-07-31","Open","Foundational control"
"R23","No vulnerability scanning / weak vuln management","A07","Vulnerability Management","Known vulns remain exploitable","Exploitation","No regular scanning and prioritization","Ad hoc patching","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","Monthly scanning; patch SLAs; track remediation","IT","2026-07-31","Open","Makes risk measurable"
"R24","No structured awareness program","A02","Awareness","Users fall for common phishing/social engineering","Social engineering","No training, no simulations, unclear reporting","Ad hoc reminders","4","3","12","High","3","3","9","Medium","Heuristic v1.2 (adjust manually)","Reduce","Awareness program; reporting button; quarterly simulation","Security","2026-06-30","Open","Easy ROI"
"R25","Flat network enables lateral movement","A06","Network Security","Compromised endpoint -> lateral move to servers","Ransomware","No segmentation, permissive ACLs","Basic firewall","3","5","15","Critical","2","5","10","High","Heuristic v1.2 (adjust manually)","Reduce","Segment users/servers; restrict admin paths; block SMB where possible","IT","2026-10-31","Open","Big lever against ransomware"
"R26","Weak baseline hardening (CIS) on endpoints/servers","A03","Hardening","Misconfig exploited (macros, services, weak policies)","Multiple","No hardening standard","Some GPO","4","3","12","High","3","3","9","Medium","Heuristic v1.2 (adjust manually)","Reduce","Adopt baseline (CIS-lite); disable risky defaults; enforce policies","IT","2026-08-31","Open","Pragmatic hardening"
"R27","Secrets/API keys stored insecurely","A07","AppSec","Keys leaked from code/repos -> access to services","Data breach","No secrets management","Manual storage","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","Secrets vault; scanning for secrets; rotate keys; least privilege","Dev/IT","2026-09-30","Open","Often overlooked"
"R28","Improper disposal of devices leaks data","A03","Data Protection","Old disks/laptops not wiped -> data exposure","Data leak","No wiping procedure","Ad hoc","2","4","8","Medium","1","4","4","Low","Heuristic v1.2 (adjust manually)","Reduce","Secure wipe procedure; certificates of destruction; vendor process","IT","2026-12-31","Open","Governance win"
"R29","GDPR/PII mishandling leads to regulatory exposure","A09","Compliance","PII processed/stored without controls -> breach + sanctions","Compliance","No DPIA, weak retention, unclear responsibilities","Some policies","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","Data mapping; retention; access controls; DPIA where needed","DPO/Security","2026-12-31","Open","Cyber-risk meets legal risk"
"R30","DDoS against public portal impacts availability","A07","Availability / DDoS","Attack saturates portal -> service outage","DDoS","No protection or rate limiting","Basic hosting","3","3","9","Medium","2","3","6","Medium","Heuristic v1.2 (adjust manually)","Reduce","Rate limiting; CDN/WAF; incident runbook; provider options","IT","2026-11-30","Open","Availability scenario"
